index,name,table_number,old_lat,old_lon,new_lat,new_lon,shift_m,status,components,zoom,comment
1,3-й переулок Декабристов,1,50.6310620,36.4877690,50.6310667,36.4876990,5.0,snapped,2,18,
2,3-й переулок Декабристов,2,50.6302390,36.4886330,50.6301994,36.4886864,5.8,snapped,3,18,
3,4-й Микрорайон,3,50.5783820,36.5860820,50.5784412,36.5859852,9.5,snapped,2,18,
4,4-й Микрорайон,4,50.5781320,36.5866980,50.5781060,36.5869231,16.2,snapped,2,18,
5,4-й Мирный переулок,5,50.6184400,36.5208080,50.6184855,36.5207595,6.1,snapped,2,18,
6,4-й Мирный переулок,6,50.6178800,36.5218830,50.6178234,36.5219901,9.8,snapped,2,18,
7,4-й Северный переулок,7,50.6217280,36.5101390,50.6217429,36.5100851,4.1,snapped,2,18,
8,4-й Северный переулок,8,50.6211710,36.5111970,50.6211450,36.5112451,4.5,snapped,2,18,
9,АЗС,9,50.5870330,36.5594720,50.5870002,36.5595201,5.0,snapped,1,18,
10,Аэропорт,10,50.6455100,36.5681610,50.6455181,36.5680749,6.1,snapped,6,18,
11,Белгородского полка,11,50.5967780,36.6037010,50.5968167,36.6037169,4.4,snapped,2,18,
12,БелГУ,12,50.6198970,36.5761690,50.6199527,36.5761044,7.7,snapped,2,18,
13,Белрыба,13,50.5406967,36.6608514,50.5407184,36.6607814,5.5,snapped,2,18,
14,Белрыба,14,50.5415523,36.6571829,50.5415433,36.6573436,11.4,snapped,2,18,
15,Восточная,15,50.5764000,36.5463260,50.5764115,36.5463687,3.3,snapped,1,18,
16,Гостенская,16,50.6009570,36.5729690,50.6009787,36.5729795,2.5,snapped,1,18,
17,Декабристов,17,50.6227200,36.5060900,50.6227009,36.5060093,6.1,snapped,2,18,
18,Декабристов,18,50.6231110,36.5052730,50.6231565,36.5053747,8.8,snapped,2,18,
19,Детский сад,19,50.5840780,36.6156330,50.5840656,36.6155791,4.0,snapped,2,18,
20,Детский сад,20,50.5833590,36.6158120,50.5833569,36.6158547,3.0,snapped,2,18,
21,Дом правосудия,21,50.6142810,36.5315090,50.6142687,36.5314068,7.3,snapped,2,18,
22,Дом правосудия,22,50.6145560,36.5316180,50.6145641,36.5317090,6.5,snapped,2,18,
23,ДС Космос,23,50.5727680,36.5788750,50.5727420,36.5788533,3.3,snapped,2,18,
24,ж/д переезд,24,50.6011850,36.6291600,50.6011897,36.6291169,3.1,snapped,3,18,
